id,company_name,industry,employees,location,starting_salary,annual_holidays,overtime_hours,remote_work,transfer,flextime,job_types,arts_or_sciences,culture_tags,description
1,テックフロンティア株式会社,IT,3500,東京都渋谷区,255,125,20,partial,なし,あり,"エンジニア,営業,企画,デザイナー",不問,"自由な社風,成長重視,フラット,リモート可",リモートも自由でフラットな雰囲気、若手がぐんぐん伸びるWeb系の大手だよ。
2,クラウドベース合同会社,IT,180,東京都目黒区,250,128,15,full,なし,あり,"エンジニア,デザイナー",不問,"フラット,リモート可,副業OK,自由な社風",完全リモートで副業OK、自分のペースで働けるクラウド系ベンチャー。
3,ネクストコード株式会社,IT,850,大阪府大阪市,245,122,25,partial,なし,あり,"エンジニア,営業,企画",理系,"成長重視,チャレンジング,若手活躍",関西発のSaaS企業、若手のうちから大きな案件を任せてもらえる感じ。
4,スマートシステムズ株式会社,IT,2200,東京都港区,250,120,30,partial,あり,あり,"エンジニア,営業,企画",不問,"安定志向,おだやか,出社中心",老舗のIT企業で安定感あり、技術もしっかり学べる落ち着いた職場。
5,アイデアラボ株式会社,IT,95,福岡県福岡市,235,125,20,full,なし,あり,"エンジニア,デザイナー,企画",不問,"自由な社風,フラット,リモート可,若手活躍",福岡のスタートアップ、フルリモートで自由度高くて若手中心の元気な会社。
6,ピクセルワークス合同会社,IT,320,東京都新宿区,245,123,22,partial,なし,あり,"デザイナー,エンジニア,企画",不問,"自由な社風,フラット,副業OK","UI/UXに強いデザイン×IT企業、副業OKでクリエイティブに働けるよ。"
7,グローバルテック株式会社,IT,5800,東京都千代田区,265,120,28,partial,あり,あり,"エンジニア,営業,企画",理系,"グローバル,成長重視,体育会系","海外展開してる大手IT、英語使う機会も多くてグローバルに働きたい人向け。"
8,ハートウェア株式会社,IT,540,神奈川県横浜市,240,124,18,partial,なし,あり,"エンジニア,営業",不問,"おだやか,ワークライフバランス,フラット","残業少なめでおだやかな雰囲気のIT企業、定時で帰りやすい。"
9,ミライ製作所株式会社,製造,4200,愛知県名古屋市,230,121,25,none,あり,あり,"エンジニア,営業,企画",理系,"安定志向,規律重視,ベテラン重視","自動車部品の老舗メーカー、伝統と安定が魅力の堅実な会社。"
10,光学テクノ株式会社,製造,1800,東京都八王子市,235,120,22,none,あり,あり,"エンジニア,営業",理系,"安定志向,おだやか,規律重視",精密光学機器のメーカー、技術者がじっくり腰を据えて働ける。
11,ものづくり工房株式会社,製造,280,大阪府東大阪市,210,115,30,none,なし,なし,"エンジニア,営業",理系,"地域密着,体育会系,出社中心",町工場発の中小メーカー、技術を磨いて職人になりたい人向け。
12,グリーンマテリアル株式会社,製造,950,千葉県市原市,225,123,20,none,あり,あり,"エンジニア,営業,企画",理系,"安定志向,ワークライフバランス,おだやか",環境素材を扱う化学メーカー、社会貢献感もあって働きやすい。
13,フードテック株式会社,製造,650,北海道札幌市,220,120,18,partial,なし,あり,"エンジニア,営業,企画",不問,"おだやか,地域密着,ワークライフバランス","食品×ITの会社、北海道で食の未来を作る仕事、文理どっちも歓迎。"
14,シャイニーパーツ株式会社,製造,2400,静岡県浜松市,225,119,28,none,あり,あり,"エンジニア,営業",理系,"安定志向,規律重視,体育会系",自動車関連部品メーカー、しっかり規律ある体育会系の社風。
15,ニッポン精機株式会社,製造,3100,東京都品川区,240,121,24,none,あり,あり,"エンジニア,営業,企画",理系,"安定志向,グローバル,ベテラン重視","海外売上多めの精密機械メーカー、安定して長く働きたい人に。"
16,さくらバンク,金融,8500,東京都千代田区,255,120,30,partial,あり,なし,"営業,企画,エンジニア",文系,"安定志向,縦社会,規律重視,出社中心",老舗メガバンク、安定と社会的信用は抜群、伝統的な金融マン向け。
17,フューチャーファイナンス株式会社,金融,1200,東京都港区,260,123,25,partial,なし,あり,"営業,企画,エンジニア",不問,"成長重視,チャレンジング,フラット","FinTech系の新興金融、IT寄りで新しい金融を作りたい人に。"
18,信頼生命保険,金融,12000,大阪府大阪市,245,121,22,none,あり,なし,"営業,企画",文系,"安定志向,おだやか,ベテラン重視",大手生命保険、安定して長く働ける、結婚後も続けやすい環境。
19,ステラ証券株式会社,金融,2800,東京都中央区,265,118,35,none,あり,なし,"営業,企画",文系,"体育会系,成長重視,縦社会",大手証券、稼ぎたい人向けで成果主義、勢いある若手も多い。
20,ローカルクレジット組合,金融,420,福岡県北九州市,210,122,15,none,なし,なし,"営業,企画",文系,"おだやか,地域密着,安定志向",地域の信用金庫、転勤なしで地元密着、ゆっくり長く働ける。
21,アカデミア出版株式会社,教育,380,東京都文京区,225,123,20,partial,なし,あり,"企画,営業,デザイナー",文系,"おだやか,自由な社風,ワークライフバランス",教育系の出版社、本好き・教育好きの落ち着いた人が多い職場。
22,スマートラーニング株式会社,教育,640,東京都新宿区,235,125,18,partial,なし,あり,"エンジニア,企画,営業,デザイナー",不問,"成長重視,自由な社風,フラット,若手活躍",EdTechの注目企業、教育とITの両方をやりたい若手にぴったり。
23,キッズワールド株式会社,教育,2200,東京都豊島区,215,118,25,none,あり,なし,"営業,企画",文系,"地域密着,体育会系,出社中心",子供向け教室の大手チェーン、人と接するのが好きな人向け。
24,しらべ教育研究所,教育,180,京都府京都市,210,128,15,partial,なし,あり,"企画,エンジニア",不問,"おだやか,自由な社風,ワークライフバランス",教育の調査研究所、年休128日でゆとりある働き方ができる。
25,ホームストア株式会社,小売,5200,東京都渋谷区,220,118,28,none,あり,なし,"営業,企画",不問,"体育会系,成長重視,出社中心",ホームセンター大手、店舗運営からキャリアを積んでいくスタイル。
26,グルメマート合同会社,小売,15000,東京都大田区,210,115,32,none,あり,なし,"営業,企画",不問,"体育会系,地域密着,縦社会",食品スーパー大手、地域に根ざして働きたい人向け、転勤多め。
27,スタイルライフ株式会社,小売,1800,東京都港区,225,120,25,partial,なし,あり,"営業,企画,デザイナー",不問,"自由な社風,フラット,若手活躍",アパレル中堅、ファッション好きが集まるおしゃれな雰囲気の職場。
28,セレクトショップ・トラベラー株式会社,小売,420,東京都目黒区,215,122,22,partial,なし,あり,"営業,企画,デザイナー",不問,"自由な社風,おだやか,フラット",雑貨セレクトショップ運営、感性を活かしたい人向けのおだやかな会社。
29,ローカルマート株式会社,小売,680,熊本県熊本市,200,120,20,none,なし,なし,"営業,企画",不問,"地域密着,おだやか,安定志向",九州地盤の地域スーパー、転勤なしで地元で安定して働ける。
30,アシスト・コンシェルジュ株式会社,サービス,2800,東京都港区,230,120,28,partial,あり,あり,"営業,企画",文系,"体育会系,成長重視,フラット",人材派遣・コンサル系、人と話すのが好きで成長したい人向け。
31,ゆとりライフ株式会社,サービス,450,神奈川県川崎市,215,125,15,partial,なし,あり,"営業,企画",不問,"おだやか,ワークライフバランス,地域密着","介護・生活サポート系、残業少なめでおだやかに働ける環境。"
32,ハッピーホテルズ株式会社,サービス,3800,東京都港区,210,115,25,none,あり,なし,"営業,企画",不問,"体育会系,グローバル,縦社会",ホテルチェーン大手、英語も使えてホスピタリティを磨ける環境。
33,イベントメイカーズ株式会社,サービス,180,東京都渋谷区,225,118,30,partial,なし,あり,"企画,営業,デザイナー",不問,"自由な社風,チャレンジング,フラット",イベント企画会社、企画力を発揮したい人向け、繁忙期は忙しめ。
34,ライフサポート福岡株式会社,サービス,320,福岡県福岡市,205,124,18,partial,なし,あり,"営業,企画",不問,"地域密着,おだやか,フラット",福岡の生活サービス会社、地元で落ち着いて働きたい人向け。
35,ストラテジー・パートナーズ株式会社,コンサル,1500,東京都千代田区,300,118,40,partial,なし,あり,"企画,営業",不問,"成長重視,チャレンジング,グローバル",戦略コンサルの中堅、給料高めだけど忙しい、成長したい人向け。
36,デジタルコンサル合同会社,コンサル,680,東京都港区,275,122,30,full,なし,あり,"エンジニア,企画",不問,"成長重視,フラット,リモート可,グローバル",IT/DXコンサル、フルリモートも可で成長環境としては抜群。
37,プロフェッショナル経営研究所,コンサル,240,東京都中央区,260,120,28,partial,なし,あり,"企画,営業",文系,"成長重視,フラット,チャレンジング",中堅向け経営コンサル、少数精鋭で経営を深く学べる環境。
38,リサーチ＆プランニング株式会社,コンサル,420,東京都新宿区,245,123,25,partial,なし,あり,"企画,営業",不問,"おだやか,フラット,ワークライフバランス",市場調査系のコンサル、データ分析が好きな人向けで穏やかな職場。
39,メディアフロンティア株式会社,メディア,2400,東京都港区,240,120,30,partial,なし,あり,"企画,営業,デザイナー",文系,"自由な社風,チャレンジング,若手活躍",Webメディア運営、自分の企画が世に出る面白さを味わえる。
40,広告クリエイティブ株式会社,メディア,1200,東京都港区,235,121,32,partial,なし,あり,"企画,デザイナー,営業",不問,"自由な社風,チャレンジング,フラット",広告代理店中堅、クリエイティブ志向の人が集まる自由な社風。
41,テレビプロダクション南風,メディア,180,沖縄県那覇市,200,118,28,none,なし,なし,"企画,デザイナー",不問,"自由な社風,地域密着,フラット",沖縄の映像制作会社、地元で映像制作に関わりたい人向け。
42,ジャーナル新報社,メディア,3200,東京都中央区,235,120,32,none,あり,なし,"企画,営業",文系,"縦社会,規律重視,出社中心",新聞社、伝統的でしっかりした社風、ジャーナリズム志向の人に。
43,ヘルスケアパートナーズ株式会社,医療,1800,神奈川県横浜市,225,123,22,partial,あり,あり,"営業,企画,エンジニア",不問,"安定志向,おだやか,ワークライフバランス",医療系IT/サービス、社会貢献感もあって安定して働ける。
44,やさしい介護株式会社,医療,640,東京都世田谷区,205,120,20,none,なし,なし,"営業,企画",不問,"おだやか,地域密着,ワークライフバランス",介護サービス事業、人を支える仕事をしたい優しい人向け。
45,メディカルラボ株式会社,医療,420,大阪府吹田市,230,122,24,none,なし,あり,"エンジニア,営業",理系,"安定志向,規律重視,おだやか",医療機器メーカー、技術者がじっくり研究開発できる環境。
